CPU 1 iotserver,User%,Sys%,Wait%,Idle%,Steal%
2017-12-12 07:09:11,3.4,6.0,6.8,83.8,0.0
2017-12-12 07:09:12,9.9,33.7,0.0,56.4,0.0
2017-12-12 07:09:13,24.8,75.2,0.0,0.0,0.0
2017-12-12 07:09:14,24.0,76.0,0.0,0.0,0.0
2017-12-12 07:09:15,24.0,76.0,0.0,0.0,0.0
2017-12-12 07:09:16,24.8,75.2,0.0,0.0,0.0
2017-12-12 07:09:17,23.8,76.2,0.0,0.0,0.0
2017-12-12 07:09:18,22.2,77.8,0.0,0.0,0.0
2017-12-12 07:09:19,23.5,76.5,0.0,0.0,0.0
2017-12-12 07:09:20,22.5,77.5,0.0,0.0,0.0
2017-12-12 07:09:21,23.0,77.0,0.0,0.0,0.0
2017-12-12 07:09:22,14.0,37.0,0.0,49.0,0.0
2017-12-12 07:09:23,1.0,1.0,0.0,98.0,0.0
2017-12-12 07:09:25,0.0,1.0,0.0,99.0,0.0
2017-12-12 07:09:26,0.0,0.0,0.0,100.0,0.0
2017-12-12 07:09:27,0.0,1.0,0.0,99.0,0.0
2017-12-12 07:09:28,1.0,1.0,0.0,98.0,0.0
2017-12-12 07:09:29,0.0,0.0,0.0,100.0,0.0
2017-12-12 07:09:30,0.0,2.0,0.0,98.0,0.0
2017-12-12 07:09:31,0.0,0.0,0.0,100.0,0.0
2017-12-12 07:09:32,1.0,1.0,0.0,98.0,0.0
2017-12-12 07:09:33,0.0,1.0,0.0,99.0,0.0
2017-12-12 07:09:34,0.0,0.0,0.0,100.0,0.0
2017-12-12 07:09:35,0.0,1.0,0.0,99.0,0.0
2017-12-12 07:09:36,1.0,1.0,0.0,98.0,0.0
2017-12-12 07:09:37,0.0,1.0,0.0,99.0,0.0
2017-12-12 07:09:38,0.0,0.0,0.0,100.0,0.0
2017-12-12 07:09:39,0.0,1.0,0.0,99.0,0.0
